0,1.50249,1.61141,0.0554756,0.0337764,1.70603,1.69537,0.0730589,-0.0221894,1.73514,1.64349,-0.0676514,0.131206,1.77793,1.95224,0.107663,-0.0773215,1.99804,1.93564,-0.10094,0.0287846,2.19749,2.27819,-0.108612,0.000466955,2.21464,2.24584,-0.0466743,-0.116788,2.40876,2.29117,0.10474,-0.0204246,2.01896,1.34449,58.7419,0,-1
1,1.57003,1.61449,0.0433994,-0.1106,1.62777,1.69222,-0.00498038,0.161876,1.78535,1.72219,0.0816774,-0.0224552,1.95607,1.8035,-0.0325231,-0.000214769,2.02695,1.95197,-0.0903814,-0.0592559,2.0794,2.28602,-0.0119969,0.0111903,2.31755,2.41895,0.0299847,-0.130764,2.30053,2.25638,-0.0976517,0.0351484,1.82707,1.0365,58.8488,0,-1
2,1.60491,1.85497,0.073164,0.0291999,1.60845,1.63615,-0.05465,0.254171,1.67282,1.66334,0.0321116,-0.0479895,1.95798,1.9258,-0.0608578,0.0315798,2.10376,2.09169,-0.0995418,0.130971,2.17648,2.19777,-0.0353902,0.0395713,2.36573,2.4419,-0.108454,-0.0534433,2.33888,2.25339,-0.0154964,-0.248855,1.98898,0.903575,59.273,0,-1
3,1.61733,1.7142,-0.048953,-0.0436135,1.62293,1.76632,0.0877178,-0.0678979,1.74046,1.65208,-0.0464113,-0.00896207,1.85053,1.84027,-0.0119844,-0.0483228,1.92985,2.13131,0.126504,-0.0206306,2.12244,2.2156,0.0506524,-0.100531,2.33091,2.42757,0.0392505,0.0114465,2.44236,2.31747,0.138927,0.0338523,2.0363,1.13122,59.2733,0,-1
4,1.57726,1.65914,0.0177073,-0.121662,1.67581,1.64177,-0.023193,-0.0744125,1.7569,1.86617,0.110049,0.0600834,1.85603,1.95487,-0.0745186,-0.00255637,1.97157,1.96881,0.125422,0.0259599,2.17879,2.16877,0.0306417,-0.0245132,2.27657,2.38815,0.0364081,0.203684,2.32308,2.32185,0.0289289,-0.0212196,1.90121,1.20061,59.004,0,-1
5,1.65468,1.66977,-0.131069,0.0645018,1.51423,1.58821,-0.032902,-0.0202541,1.66816,1.66833,0.075378,0.0822043,1.88539,2.19318,-0.0602016,0.0872637,2.11293,2.13234,-0.147715,-0.159448,2.17426,2.33385,0.0759747,0.0658723,2.33481,2.36059,0.0436666,0.0109581,2.53266,2.34124,-0.025282,0.102085,1.87455,1.31458,59.7815,0,-1
6,1.72988,1.4011,-0.0574442,-0.000684321,1.70273,1.60737,0.0820003,-0.0107963,1.86734,1.87761,0.0107932,-0.131923,1.88589,1.85663,0.108057,-0.0486787,1.89419,2.11137,0.00142559,-0.0415482,2.21561,2.31854,-0.0564996,-0.089019,2.35648,2.47157,0.0353502,-0.12389,2.27492,2.15865,0.0592885,0.0400953,1.93654,1.04336,59.2076,0,-1
7,1.51963,1.77217,0.072403,0.0559251,1.92395,1.62074,-0.021429,0.116784,1.8536,1.77387,-0.0108024,0.0355148,1.95074,1.98152,0.08316,-0.028113,2.04142,2.06042,0.116467,0.0432092,2.34493,2.2547,0.0272073,0.0464798,2.29849,2.27001,-0.00145622,-0.0305721,2.6105,2.22711,0.110284,-0.0526331,1.73672,0.988084,60.5045,0,-1
8,1.46345,1.78227,-0.0295272,0.00329076,1.73834,1.84585,0.14549,-0.00877433,1.84596,1.79845,-0.129453,0.00995834,1.8349,1.93207,0.105324,0.113346,2.15483,2.03645,-0.037001,-0.0740898,2.0604,2.23423,0.0964497,0.171028,2.25387,2.34306,-0.104104,0.0303196,2.44218,2.24546,-0.118536,0.0620166,2.03892,1.24027,60.1638,0,-1
9,1.51489,1.674,-0.0010437,-0.0146187,1.52229,1.62383,-0.00311657,-0.156856,1.73373,1.80761,0.00616069,-0.000524254,1.86383,1.99244,0.102407,0.0857431,1.98996,2.03171,0.126973,-0.121363,2.17453,2.30712,-0.140767,0.0646666,2.37341,2.46314,-0.218773,-0.0747998,2.3405,2.48301,-0.0832715,-0.162902,1.97156,1.10833,58.8509,0,-1
