1.878700000000000000e+04,1.652245618016332740e+00,1.692057269060378344e+00,1.744038420448239757e+00,1.775143402394832925e+00,1.798886669158158202e+00,1.896061086718000332e+00,2.088057130966615382e+00,2.350794056407271349e+00,2.610536012063634281e+00,2.800184046063342258e+00,2.927404815509564440e+00,2.860805763255093837e+00,2.772869704943023983e+00,2.500766938240693626e+00,2.170971180911506870e+00,1.752761868901827391e+00,1.130867236032111922e+00,5.311143925103439800e-01,0.000000000000000000e+00,7.000000000000000000e+00
1.227130000000000000e+05,1.724726533779211479e+00,1.703991489461873732e+00,1.717119502724000490e+00,1.754338261514763353e+00,1.765744715609176119e+00,1.810579949026439817e+00,1.997171586528360354e+00,2.404957199583424909e+00,2.790096186722010430e+00,2.928944410804101395e+00,3.091067687442911271e+00,3.228491994400075171e+00,3.383254492477794528e+00,3.380276347133079895e+00,3.307802431573728441e+00,2.905336359141149405e+00,2.114726402399674576e+00,1.148478685123424103e+00,0.000000000000000000e+00,7.000000000000000000e+00
6.816690000000000000e+05,1.621676975879560612e+00,1.526071096603246247e+00,1.503064589620506819e+00,1.576559950042081493e+00,1.687318050885841858e+00,1.820704508866856308e+00,1.994521239057767570e+00,2.194058607488633239e+00,2.359749184678026523e+00,2.392492845623031883e+00,2.454816164541150592e+00,2.555323734486168785e+00,2.700907179527352042e+00,2.716471740503426879e+00,2.646946812426122619e+00,2.324720043497832123e+00,1.731758062561965517e+00,9.681460284268845751e-01,0.000000000000000000e+00,7.000000000000000000e+00
1.226715000000000000e+06,1.563519875555317906e+00,1.675451966386636293e+00,1.798276609930619552e+00,1.816856241659345894e+00,1.787885918122287476e+00,1.824147792193307360e+00,1.934728980700417100e+00,2.076506563804756844e+00,2.183572941356678676e+00,2.234621008896461980e+00,2.265614876641282915e+00,2.299416488989068696e+00,2.350106741077657269e+00,2.403904875701307287e+00,2.468657398444964901e+00,2.467679682027012156e+00,2.011463774981498531e+00,1.145460998346235826e+00,0.000000000000000000e+00,7.000000000000000000e+00
1.876103000000000000e+06,1.524946724140458176e+00,1.593330037820231304e+00,1.643903417311759485e+00,1.646925701062464942e+00,1.622764827012668887e+00,1.632381207199749440e+00,1.739077494754701192e+00,1.909106707665634062e+00,2.063738379430409609e+00,2.198946792916052217e+00,2.362177622873383065e+00,2.505348735168011043e+00,2.635694699769729255e+00,2.733935542016602938e+00,2.803654886687897640e+00,2.487005562051364471e+00,1.793026127071482012e+00,9.680726898216300835e-01,0.000000000000000000e+00,7.000000000000000000e+00
4.008258000000000000e+06,1.506597899557752029e+00,1.583823647310076854e+00,1.638587537909022895e+00,1.650914393670154467e+00,1.694173286889642194e+00,1.788121108656015146e+00,1.955647888347766372e+00,2.258679198305440838e+00,2.537050034190829528e+00,2.736693769138581978e+00,2.988974865524052227e+00,3.160968653078013446e+00,3.352171556048949341e+00,3.404459272433840056e+00,3.378032036704366803e+00,2.919677845618212864e+00,2.049824774997912158e+00,1.080490243552369556e+00,0.000000000000000000e+00,7.000000000000000000e+00
7.880440000000000000e+05,1.641528135916766384e+00,1.741270168382462069e+00,1.822859941705391229e+00,1.810968670538516623e+00,1.767414484431905297e+00,1.820627843275778091e+00,2.066634415973290118e+00,2.508402210487077788e+00,2.878042765027345240e+00,2.994623505548843934e+00,3.088475439668970424e+00,3.113485419442506341e+00,3.233888650010518173e+00,3.314597832410431710e+00,3.345272107493069136e+00,3.045335300426677883e+00,2.315898277232135261e+00,1.295995224562886516e+00,0.000000000000000000e+00,7.000000000000000000e+00
3.827768000000000000e+06,1.555240880231093303e+00,1.523941715332820745e+00,1.510704208543927063e+00,1.562061266739374066e+00,1.640083635249152127e+00,1.713132272385606614e+00,1.858814020163167768e+00,2.161211307682019189e+00,2.461441046093601592e+00,2.634050395239941444e+00,2.839967144849173231e+00,2.940750335139973970e+00,3.067569750366421211e+00,3.078594175771047325e+00,2.985454175321554438e+00,2.496879523093052278e+00,1.712006880895943661e+00,8.945080246011616332e-01,0.000000000000000000e+00,7.000000000000000000e+00
2.786131000000000000e+06,1.564352598348067502e+00,1.559267135005478089e+00,1.615410540628832159e+00,1.712167268575876644e+00,1.819828944701648465e+00,1.914812328212630810e+00,2.024439968984304450e+00,2.182526672716250005e+00,2.323126304086557070e+00,2.445214859080938830e+00,2.588872586670473375e+00,2.695801691099124042e+00,2.836350137547712258e+00,2.952424460661351446e+00,3.023506779416253121e+00,2.820428622785108530e+00,2.176604073745707968e+00,1.217829723782773099e+00,0.000000000000000000e+00,7.000000000000000000e+00
2.965806000000000000e+06,1.593557743527389103e+00,1.599383033412046240e+00,1.694463228785936693e+00,1.800452997659378163e+00,1.837428309082969058e+00,1.861138398686254192e+00,2.022693665172329958e+00,2.434485223911153629e+00,2.812073246638059132e+00,2.912283962189824216e+00,3.011195486491007323e+00,3.074155845678092636e+00,3.225263197738323484e+00,3.300806723187387437e+00,3.334184446962521697e+00,3.009285795063884272e+00,2.262165132383110233e+00,1.260781772815704027e+00,0.000000000000000000e+00,7.000000000000000000e+00
4.200790000000000000e+06,1.425383844547027934e+00,1.441908195388768466e+00,1.493909932739327262e+00,1.584108821005136170e+00,1.707413956667293231e+00,1.869462474012185016e+00,2.054815199426514472e+00,2.263429355169690460e+00,2.467028577742567119e+00,2.577125642125025706e+00,2.686326877955171000e+00,2.722746890126954256e+00,2.773631680699426116e+00,2.659847341977061408e+00,2.456036371198647039e+00,1.995252145604983429e+00,1.258142484056490318e+00,6.063107336836751626e-01,0.000000000000000000e+00,7.000000000000000000e+00
2.855400000000000000e+05,1.537846903692761114e+00,1.588412018904173939e+00,1.595087162081767485e+00,1.570063974364940051e+00,1.574772302068477847e+00,1.675479836084222907e+00,1.865258782110329028e+00,2.111777378299855013e+00,2.319242370370101725e+00,2.465927237676000416e+00,2.654992020802607655e+00,2.775310094128521143e+00,2.913810085784688475e+00,2.936693430466702281e+00,2.887313803550114244e+00,2.533543743357831168e+00,1.844573073783148942e+00,9.982265645127867959e-01,0.000000000000000000e+00,7.000000000000000000e+00
9.005040000000000000e+05,1.590237500904411849e+00,1.699950798222261028e+00,1.724341234074604490e+00,1.660295739445888152e+00,1.596620974467956255e+00,1.638658881945063595e+00,1.813985769692042727e+00,2.044696672927051484e+00,2.222582585653122500e+00,2.346860061439955292e+00,2.501957637018638270e+00,2.680770879800620676e+00,2.899565099876827201e+00,2.939480985375825473e+00,2.867868555288549004e+00,2.456892656504888972e+00,1.762452652012853394e+00,9.546626502457257191e-01,0.000000000000000000e+00,7.000000000000000000e+00
2.112142000000000000e+06,1.730037271278520583e+00,1.741161732239743909e+00,1.798593280856312315e+00,1.844426810805010586e+00,1.800606914700504158e+00,1.755627803295121581e+00,1.857635834886295356e+00,2.130926450846949649e+00,2.384664743460465530e+00,2.539622020748678821e+00,2.736094638793235223e+00,2.956753684193708320e+00,3.214439173839796826e+00,3.329295962411720655e+00,3.390155163633052027e+00,3.061973326996275890e+00,2.277564114960425101e+00,1.243490471275900511e+00,0.000000000000000000e+00,7.000000000000000000e+00
2.177077000000000000e+06,1.603444975436641773e+00,1.568894941294451062e+00,1.558823997459927835e+00,1.582956301579999447e+00,1.593368540099532105e+00,1.609146689626268056e+00,1.715047438436250182e+00,1.962493210791240728e+00,2.197462430409312439e+00,2.354901900454509978e+00,2.542416781793072289e+00,2.638330030291376360e+00,2.759809147410584806e+00,2.802121742574718688e+00,2.774355779411867395e+00,2.453591772841409835e+00,1.825639618427200128e+00,1.021032496942979373e+00,0.000000000000000000e+00,7.000000000000000000e+00
